loss = 2.208999836848655, MAPE = 0.2594787359467167
loss = 2.705671114536237, MAPE = 0.4199366025631822
loss = 2.3026284672454262, MAPE = 0.28043128060642686
loss = 2.5974763903721416, MAPE = 0.4667335283725126
loss = 2.1641872650491063, MAPE = 0.31001921317900644
loss = 2.3995818036833776, MAPE = 0.5157673124161355
loss = 2.241920638104321, MAPE = 0.870542587508651
loss = 2.254791433208647, MAPE = 0.2568110081120839
loss = 2.1731520928080337, MAPE = 0.2177207614126445
loss = 2.446499431226984, MAPE = 0.30837987579163695
loss = 2.564376399598016, MAPE = 0.2825859827586011
loss = 2.27367508188952, MAPE = 0.2657421144548192
loss = 2.402439744064325, MAPE = 0.2959700303586449
loss = 2.673592992094042, MAPE = 0.4044518780560384
loss = 2.4309134083894524, MAPE = 0.2798677928502367
loss = 2.0826802978755086, MAPE = 0.30262100419327564
loss = 2.44024968875762, MAPE = 0.29908654292642456
loss = 2.280470896249832, MAPE = 0.3398341114093888
loss = 2.262957638863675, MAPE = 0.2745715916527975
loss = 2.153453693357124, MAPE = 0.36051197550656294
loss = 2.41407123593836, MAPE = 0.3208890158441889
loss = 2.2202868834088805, MAPE = 0.5118497765562167
loss = 2.561917474318474, MAPE = 0.7214806915630455
loss = 2.264881738749233, MAPE = 0.3481998450377966
loss = 2.272763935187173, MAPE = 0.42434089302968875
loss = 2.1900687766596265, MAPE = 0.2971162589156478
loss = 2.327808593648112, MAPE = 0.4333048589878693
loss = 2.2183879515574474, MAPE = 0.2622369578809112
loss = 2.34754964458493, MAPE = 0.42932435027027205
loss = 1.9918994320150678, MAPE = 0.2244621625220461
loss = 2.392926339498034, MAPE = 0.38353504470036087
loss = 2.815179422389344, MAPE = 0.47096468456771884
loss = 2.3879448360927795, MAPE = 0.5120726420015016
loss = 2.883815728067594, MAPE = 1.0801831358976213
loss = 2.1354610173812714, MAPE = 0.330727923612115
loss = 2.132961088093165, MAPE = 0.30465225008014485
loss = 2.39311646079245, MAPE = 0.36573568317918664
loss = 2.4571396064181203, MAPE = 0.6707380655994901
loss = 2.327048189156442, MAPE = 0.3142190412148266
loss = 2.394143283296808, MAPE = 2.193210767519202
loss = 2.6772276345676946, MAPE = 0.4553843494200207
loss = 2.5297716969215616, MAPE = 0.38478328992104793
loss = 2.2552134583835324, MAPE = 0.346216144117813
loss = 2.02285405503148, MAPE = 0.257370113672855
loss = 2.527577214548261, MAPE = 0.36749798092433156
loss = 2.0973148784241693, MAPE = 0.3199543883270648
loss = 2.3140933868638385, MAPE = 0.3340708873932004
loss = 2.543754229778129, MAPE = 0.35542838869308024
loss = 2.254742010727825, MAPE = 0.2731631302285186
loss = 2.173320455173698, MAPE = 0.2668682403829204
loss = 2.025456731838321, MAPE = 0.3220964138948641
loss = 2.0876009369244435, MAPE = 0.2761872251628254
loss = 2.131987608380505, MAPE = 0.28909911953923584
loss = 2.243626831477165, MAPE = 0.35209324631476635
loss = 2.0212437232242606, MAPE = 0.34889613474432757
loss = 2.0393621998231106, MAPE = 0.4530895437601847
loss = 2.347234099576467, MAPE = 0.31831291275556295
loss = 2.333045653891874, MAPE = 0.34757007971430354
loss = 2.1539736556181337, MAPE = 0.6495550996141882
loss = 1.8605356639305688, MAPE = 0.23256945032624488
loss = 2.3258960577345515, MAPE = 0.34015171166210884
loss = 2.0621301249405803, MAPE = 0.2724188781011375
loss = 2.2200399633256263, MAPE = 0.247381000977818
loss = 2.096399113496353, MAPE = 0.4248670711482376
loss = 2.151989593250087, MAPE = 0.33389671884473526
loss = 2.1945192549628896, MAPE = 0.35946299295868706
loss = 2.2862326463621545, MAPE = 0.48711162266040237
loss = 2.2651016353355637, MAPE = 0.7578851759462802
loss = 2.0409119491264436, MAPE = 0.2988079753036324
loss = 1.88678106667971, MAPE = 0.2488524386243585
loss = 1.785360945326092, MAPE = 0.18138811957427356
loss = 1.8728230462003441, MAPE = 0.5006642638526079
loss = 1.9196854338705687, MAPE = 0.5556793684378623
loss = 1.9237059500123088, MAPE = 0.44499289487459476
loss = 1.9594468901655646, MAPE = 0.34913231331225114
loss = 2.119456185215152, MAPE = 0.28643125791975754
loss = 1.9869127165852947, MAPE = 0.2761429632121495
loss = 2.0954092949073826, MAPE = 0.4559987715184962
loss = 1.980706285964111, MAPE = 0.6155080833223106
loss = 2.127171431588222, MAPE = 0.4617981574752773
loss = 1.9061702989471871, MAPE = 0.24690403890914933
loss = 2.081152820361263, MAPE = 0.25881728940326953
loss = 2.064848082576292, MAPE = 0.29257219191068984
loss = 1.8676092753491578, MAPE = 0.47027725101219636
loss = 1.9983970276662986, MAPE = 0.3124563570491619
loss = 1.9463309525013603, MAPE = 0.34519134169285337
loss = 2.14770264504621, MAPE = 0.402617243136175
loss = 1.8003969156800739, MAPE = 0.4093484801957416
loss = 2.3884612727599546, MAPE = 0.7280713432325605
loss = 2.19775268726716, MAPE = 0.47674198956930175
loss = 1.8530536859080047, MAPE = 0.3732170164713991
loss = 1.7653958843385609, MAPE = 0.19183328770923389
loss = 2.2553763459048652, MAPE = 0.553654034896097
loss = 1.699199905658338, MAPE = 0.42450800240833064
loss = 1.802662019149026, MAPE = 0.5152717175672806
loss = 1.8341880330042233, MAPE = 0.4058666173865354
loss = 1.8959862297841121, MAPE = 0.4748339612394689
loss = 1.7430228889825004, MAPE = 0.364596574105144
loss = 1.746226063779981, MAPE = 0.3614175664782306
loss = 1.909329755260153, MAPE = 0.2976434820937161
loss = 1.9317448846324858, MAPE = 0.2769916571349812
loss = 2.1468905661466797, MAPE = 0.3943581002329758
loss = 1.881988586749562, MAPE = 0.6441188684664142
loss = 1.813881517798072, MAPE = 0.505066968771521
loss = 2.0133183658219194, MAPE = 0.9479244065297048
loss = 2.0039054078428373, MAPE = 3.4404792443540835
loss = 2.052133779203895, MAPE = 0.482594075290061
loss = 1.8834264028492549, MAPE = 0.3303711475287629
loss = 2.0037401058071427, MAPE = 0.5486110168695784
loss = 1.8205469168850623, MAPE = 0.3219743331171961
loss = 1.8989767711076246, MAPE = 0.5956927128519681
loss = 2.062429972825474, MAPE = 0.5725065586749817
loss = 1.8879090825113483, MAPE = 0.385556448917308
loss = 1.6507466490620386, MAPE = 0.29251424575095525
loss = 1.9449766167534643, MAPE = 0.6145879171112936
loss = 1.6443525183465664, MAPE = 0.4314820837896185
loss = 1.6678133193207616, MAPE = 0.28723602906035056
loss = 1.91544501635928, MAPE = 0.26504584243566526
loss = 1.908859547582997, MAPE = 0.3597070355403555
loss = 1.869100456102364, MAPE = 0.20968360097051794
loss = 1.7221629902542217, MAPE = 0.5148096078540808
loss = 1.7857360769592805, MAPE = 0.44714850140237566
loss = 1.8355502758666586, MAPE = 0.26811025767992613
